N	Talla_rata	Sexo
1	5.8	Male
2	6.67	Male
3	5.69	Male
4	6.53	Male
5	6.42	Male
6	6.31	Male
7	6.91	Male
8	5.72	Male
9	7.77	Male
10	6.56	Male
11	6.77	Male
12	6.12	Male
13	7.1	Male
14	6.62	Male
15	6.06	Male
16	5.39	Male
17	4.61	Male
18	4.94	Male
19	4.89	Male
20	7.86	Male
21	6.31	Male
22	6.84	Male
23	4.34	Male
24	5.14	Male
25	7.12	Male
26	3.33	Male
27	3.61	Male
28	7.07	Male
29	6.53	Male
30	6.21	Male
31	5.88	Male
32	5.21	Male
33	4.85	Male
34	4.39	Male
35	6.42	Male
36	5.06	Male
37	7.04	Male
38	5.77	Male
39	5.91	Male
40	6.8	Male
41	7.88	Male
42	5.52	Male
43	5.76	Male
44	6.56	Male
45	5.81	Male
46	4.46	Male
47	7.88	Male
48	6.85	Male
49	5.5	Male
50	4.08	Male
51	5.4	Male
52	4.64	Male
53	6.41	Male
54	6.65	Male
55	4.27	Male
56	5.93	Male
57	5.04	Male
58	6.4	Male
59	7.12	Male
60	4.3	Male
61	7.63	Male
62	6.31	Male
63	6.78	Male
64	4.22	Male
65	5.25	Male
66	4.2	Male
67	6.26	Male
68	5.51	Male
69	4.74	Male
70	7.88	Male
71	6.36	Male
72	3.79	Male
73	6.47	Male
74	5.21	Male
75	4.9	Male
76	5.46	Male
77	7.18	Male
78	6.32	Male
79	6.79	Male
80	6.57	Male
81	5.6	Male
82	7.68	Male
83	6.74	Male
84	5.59	Male
85	6.23	Male
86	6.1	Male
87	6.41	Male
88	5.43	Male
89	6.03	Male
90	7.48	Male
91	7.08	Male
92	5.95	Male
93	6.4	Male
94	5.08	Male
95	7.31	Male
96	6.49	Male
97	7.89	Male
98	7.03	Male
99	6.69	Male
100	7.16	Male
101	7.64	Female
102	6.72	Female
103	6.76	Female
104	6.57	Female
105	6.2	Female
106	5.54	Female
107	7.18	Female
108	7.1	Female
109	6.91	Female
110	4.78	Female
111	5.94	Female
112	4.42	Female
113	5.96	Female
114	5.37	Female
115	6.24	Female
116	6.75	Female
117	5.62	Female
118	5.27	Female
119	6.25	Female
120	5.96	Female
121	6.54	Female
122	6.5	Female
123	7.21	Female
124	4.72	Female
125	5	Female
126	6.34	Female
127	6.5	Female
128	6.56	Female
129	6.04	Female
130	7.07	Female
131	8.05	Female
132	5.97	Female
133	5.81	Female
134	7.47	Female
135	6.85	Female
136	6.94	Female
137	5	Female
138	7.29	Female
139	6.31	Female
140	5.9	Female
141	5.74	Female
142	5.84	Female
143	4.35	Female
144	5.55	Female
145	6.01	Female
146	5.65	Female
147	5.65	Female
148	7.76	Female
149	5.52	Female
150	6.15	Female
151	4.05	Female
152	7.76	Female
153	6.91	Female
154	6.93	Female
155	5.84	Female
156	7.13	Female
157	6.86	Female
158	6.73	Female
159	6.37	Female
160	6.18	Female
161	5.86	Female
162	4.58	Female
163	6.16	Female
164	6.38	Female
165	6.68	Female
166	5.39	Female
167	6.95	Female
168	6.25	Female
169	6.35	Female
170	6.41	Female
171	6.61	Female
172	6.72	Female
173	6.73	Female
174	6.02	Female
175	5.04	Female
176	5.42	Female
177	6.98	Female
178	7.59	Female
179	7.22	Female
180	5.75	Female
181	4.24	Female
182	6.33	Female
183	4.72	Female
184	6.32	Female
185	5.96	Female
186	6.53	Female
187	6.08	Female
188	7.11	Female
189	6.38	Female
190	6.79	Female
191	4.96	Female
192	5.29	Female
193	7.56	Female
194	4.19	Female
195	5.47	Female
196	7.68	Female
197	5	Female
198	6.61	Female
199	6.08	Female
200	5.66	Female
