,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
1,0.0,173.07,519.31,503.86,115.73,277.0,454.31,125.38,318.07,244.01,201.07,540.54,529.47,514.82,581.38,672.16,166.06,465.06,693.98,248.13,346.12,657.43,782.08,72.48,518.61,404.61,120.7,54.54,117.37,73.93,34.87,129.6,123.14,252.26,58.82,273.74,229.69,370.54,337.06,373.7,609.86,299.37,167.11,309.77,705.71,15.35,242.72,429.23,241.46,241.58,37.8,177.6,460.06,291.47,815.16,485.42,779.69,288.12,203.6,577.41,43.61,376.52,203.43,311.04,290.73,699.31,223.64,395.19,817.08,521.68,548.97,178.11,258.14,452.65,176.81,711.78,676.07,411.42,320.64,400.24,318.65,414.59,511.57,459.26,19.63,505.2,284.85,445.19,24.4,238.24,399.2,579.55,173.1,643.08,113.31,652.85,78.02,102.69,249.55,288.27,242.91,301.13,713.67,26.96,129.83,274.28,47.46,737.66,663.08,542.03,501.37,180.38,177.53,150.51,128.97,18.68,87.51,50.69,63.55,34.23,537.03,278.53,268.09,273.99,657.55,222.6,161.87,488.58,428.25,217.73,404.85,241.44,331.37,559.61,155.86,592.01,239.31,342.57,212.32,190.15,520.76,173.7,612.63,300.61,214.69,533.56,357.43,361.5,610.8,704.89,528.44,386.45,465.69,416.91,230.6,296.14,221.92,184.1,189.93,373.15,349.17,478.89,301.06,240.8,521.04,538.11,516.63,125.83,181.24,506.04,208.62,398.28,282.06,358.92,1084.08,294.4,283.11,415.36,534.41,556.66,185.14,23.7,665.47,76.3,338.07,475.22,582.45,89.09,596.7,695.53,554.88,397.62,83.21,114.1,745.94,353.77,528.59,691.59,246.06,75.33
2,173.07,0.0,416.26,445.61,216.44,417.4,394.14,258.29,276.88,143.46,62.24,496.32,494.89,471.22,555.24,663.01,23.02,425.24,663.69,168.97,431.17,674.81,800.38,235.46,446.31,481.34,260.06,220.04,256.65,216.66,176.67,247.4,258.57,163.57,164.61,166.03,219.13,291.82,191.1,361.9,491.02,373.63,25.14,146.92,679.54,158.97,146.46,557.86,145.5,107.9,140.54,6.02,353.24,365.27,846.29,378.94,814.16,369.51,361.14,502.47,151.45,338.65,34.9,205.49,172.52,672.91,145.76,350.07,843.97,496.5,486.35,305.63,131.15,370.83,312.17,699.37,645.57,450.68,227.85,479.41,297.21,442.13,447.16,591.66,155.25,454.02,181.44,332.56,151.18,136.04,477.35,542.2,37.72,599.89,124.21,607.89,228.7,114.33,164.89,321.01,150.16,189.3,686.82,174.16,260.42,312.92,180.64,725.9,615.38,494.09,432.5,10.28,37.75,51.94,64.34,157.13,110.1,125.47,118.54,169.4,487.46,184.91,152.31,175.16,648.33,148.6,168.38,494.3,386.92,131.05,336.1,142.76,465.07,511.85,251.7,541.53,158.32,317.21,225.35,245.18,471.98,12.88,570.03,234.13,138.73,449.65,474.77,303.02,632.21,675.43,475.84,299.38,381.54,343.72,92.17,170.86,72.55,128.26,49.74,385.49,267.66,428.79,202.32,333.21,455.56,451.79,504.04,76.32,342.32,383.24,75.42,522.45,191.9,303.23,1191.27,364.75,266.34,382.26,480.39,452.32,36.5,156.67,655.88,115.86,168.46,647.17,502.02,105.87,598.89,717.11,475.51,445.04,205.98,62.24,756.44,271.04,480.73,665.59,407.53,194.0
3,519.31,416.26,0.0,137.87,453.08,796.31,132.5,640.94,678.32,282.23,355.05,192.03,881.64,852.99,267.56,379.52,401.5,184.55,333.97,271.64,470.97,449.25,548.7,590.99,804.08,475.09,508.61,531.32,507.38,500.68,495.22,475.73,502.43,269.13,467.45,546.19,633.96,666.31,506.36,768.9,770.62,429.48,398.97,304.48,355.12,513.68,281.79,646.55,283.02,487.34,483.52,417.79,63.05,426.53,615.72,37.71,596.88,442.15,594.4,850.69,527.99,735.6,420.62,574.97,539.78,349.4,296.98,182.35,604.16,240.51,140.08,505.45,506.26,85.13,521.58,400.03,319.47,378.41,603.43,479.67,704.8,349.37,121.08,681.1,501.16,158.94,560.43,85.36,496.6,289.24,476.39,232.87,451.62,257.89,406.01,260.14,596.74,520.23,271.04,737.26,280.29,557.45,359.53,499.78,496.03,357.09,487.64,422.57,260.28,181.47,106.06,419.61,449.92,467.93,475.71,501.34,508.45,497.81,501.49,490.9,863.03,571.0,529.91,559.95,368.63,297.45,365.27,315.86,181.94,305.52,136.92,284.17,598.62,887.01,446.84,201.14,281.07,236.47,339.92,391.52,170.58,404.8,238.05,222.14,306.11,793.39,564.8,179.38,429.28,345.04,161.86,664.5,72.87,714.56,324.09,245.48,455.39,542.68,455.62,305.43,644.31,809.14,579.3,453.17,120.34,61.76,275.05,488.05,591.95,677.41,472.55,610.96,578.75,184.47,1598.18,419.81,274.76,202.57,159.89,766.04,444.38,519.3,373.25,445.35,323.34,890.34,843.48,434.0,361.91,490.3,821.53,394.7,477.48,433.96,495.62,645.96,176.16,344.49,636.99,473.4
4,503.86,445.61,137.87,0.0,413.37,774.28,51.64,629.24,721.49,302.18,384.15,61.06,935.92,909.91,137.23,253.94,426.02,59.14,227.02,278.37,367.28,313.98,419.97,570.59,871.7,359.43,461.4,501.48,461.09,466.57,473.81,428.2,454.78,282.28,446.3,598.18,662.53,724.25,576.96,807.51,862.54,337.18,423.43,372.04,245.92,502.24,299.19,538.53,300.16,536.52,472.79,448.86,156.22,336.47,484.3,149.72,463.21,352.45,530.43,922.81,523.48,782.34,460.27,632.35,596.44,239.48,303.67,109.35,474.16,102.73,45.52,443.23,558.23,91.69,459.74,280.85,209.8,258.91,659.31,365.04,742.83,229.18,18.74,571.24,488.39,21.08,613.45,178.01,484.42,309.59,361.82,108.64,483.28,156.46,395.49,163.45,581.26,531.82,281.46,758.23,295.63,614.61,252.09,480.02,446.88,279.84,463.7,305.77,170.05,53.74,31.96,451.78,482.83,493.42,495.21,487.93,516.57,495.59,503.13,471.31,923.31,621.27,582.21,610.47,241.42,302.03,342.0,181.24,81.74,316.9,109.7,302.86,505.33,947.72,395.02,96.37,289.17,167.18,297.05,339.13,35.46,432.89,128.19,213.75,312.14,866.25,463.41,145.6,291.83,238.9,32.47,726.37,89.92,775.09,359.1,290.04,500.76,573.16,492.16,199.82,700.79,866.41,633.83,375.81,25.5,88.69,137.33,506.79,533.45,762.76,513.92,505.33,628.88,146.97,1586.31,329.23,223.91,101.32,35.46,848.3,479.38,510.13,247.14,438.36,401.96,809.96,918.03,429.63,225.83,356.04,894.03,278.37,443.73,443.93,367.69,703.25,43.24,233.08,567.55,443.14
5,115.73,216.44,453.08,413.37,0.0,362.61,367.05,230.58,426.02,210.78,209.89,442.76,641.58,625.31,476.27,561.45,198.39,368.1,588.46,199.32,234.51,542.66,666.91,165.35,622.59,291.71,58.53,90.97,56.43,54.45,81.04,32.5,53.52,208.56,65.8,359.63,340.35,470.26,405.19,487.39,697.04,184.71,197.86,314.55,598.86,123.54,207.0,342.06,205.93,313.8,107.28,222.38,399.71,176.64,699.44,423.28,663.96,174.58,160.42,681.22,154.69,486.38,251.35,399.44,372.91,592.6,182.31,304.29,701.43,417.53,458.89,89.74,334.64,377.04,98.4,601.45,570.83,295.98,414.23,287.84,430.21,300.25,423.72,375.46,111.11,411.48,373.01,389.96,110.07,207.99,286.55,478.2,235.42,542.57,95.48,552.82,181.35,201.51,203.96,404.0,204.76,386.54,606.93,89.05,50.59,161.21,68.43,626.99,563.89,445.71,416.16,226.45,239.01,221.18,204.26,109.22,182.89,142.7,157.43,83.56,646.58,370.07,350.28,363.38,546.98,179.09,93.9,376.88,333.65,184.66,325.25,207.76,248.62,669.69,41.61,495.38,194.46,246.7,116.93,78.98,425.46,210.0,512.49,231.79,175.74,634.24,261.17,280.13,495.82,598.98,434.52,483.85,390.64,519.24,228.2,267.87,284.32,280.06,253.76,262.47,447.46,587.78,391.73,129.15,433.32,460.74,408.82,207.61,149.08,590.32,278.32,307.35,375.0,276.31,1175.28,179.19,189.72,317.94,440.91,650.09,243.98,134.36,554.92,105.59,351.48,463.89,684.69,112.21,484.42,580.3,657.19,281.91,34.15,158.04,631.59,451.8,432.65,584.85,208.25,40.42
6,277.0,417.4,796.31,774.28,362.61,0.0,726.31,160.02,361.3,519.08,464.16,805.36,485.9,489.02,836.77,914.19,420.71,730.6,948.13,525.01,534.2,880.16,998.29,205.71,536.98,592.04,323.65,272.91,322.81,308.45,302.65,354.16,330.14,528.73,330.59,420.23,295.49,441.09,508.21,345.88,688.7,509.08,422.62,564.31,957.24,283.22,518.28,528.39,517.01,428.49,313.18,419.51,736.91,503.36,1017.71,762.33,980.43,493.1,308.78,588.22,273.59,386.78,435.7,439.14,441.62,951.14,500.25,664.93,1023.77,778.85,819.76,364.22,431.6,728.57,350.87,954.6,930.81,634.97,429.25,585.47,334.01,646.93,783.5,543.64,295.32,773.44,421.56,721.56,299.93,512.88,585.83,840.39,397.36,904.86,390.3,915.2,199.97,304.15,526.22,241.45,518.84,440.59,965.37,297.38,339.09,517.32,311.68,979.21,926.39,808.22,774.51,420.36,401.37,372.39,354.28,295.05,307.46,303.96,304.47,306.28,515.53,407.27,425.73,410.71,900.19,499.38,435.35,729.97,695.64,493.48,679.56,516.67,444.03,530.42,388.74,857.95,516.02,608.69,477.42,440.53,787.79,423.76,874.89,576.87,491.22,567.09,495.6,635.37,832.73,958.28,796.58,462.94,741.76,463.7,496.19,568.33,430.91,340.08,406.62,619.63,431.69,472.52,425.22,446.74,793.06,813.92,767.47,343.42,289.39,607.22,410.37,513.7,405.16,632.34,812.7,508.96,550.5,680.42,802.87,618.81,409.85,278.62,908.06,351.76,583.33,378.51,601.23,363.75,834.24,912.71,576.99,615.9,330.89,374.4,970.39,436.09,795.09,943.42,310.75,331.14
7,454.31,394.14,132.5,51.64,367.05,726.31,0.0,579.64,670.23,250.76,332.81,105.85,885.16,859.39,176.89,293.8,374.45,57.35,274.96,226.74,343.48,342.82,455.47,521.89,822.34,343.67,416.98,453.91,416.46,419.55,424.87,383.62,410.41,230.72,397.2,547.7,610.91,674.06,528.76,756.02,817.54,307.04,371.86,324.86,292.99,452.25,247.69,518.01,248.66,485.96,422.63,397.44,128.79,305.25,516.82,130.73,493.2,321.21,490.79,873.98,472.92,731.22,409.25,582.29,546.4,286.45,252.05,63.97,508.13,129.66,95.13,402.56,507.85,58.51,419.07,323.79,257.32,246.08,609.04,348.51,691.35,216.92,57.28,551.96,438.5,61.49,563.03,146.42,434.45,258.15,345.23,153.96,431.83,206.69,345.0,214.18,531.96,480.36,229.85,706.67,244.09,564.57,299.55,430.9,402.81,242.46,415.06,349.43,221.28,101.46,49.63,400.4,431.42,441.81,443.58,438.1,465.22,444.79,452.09,422.12,873.08,570.6,531.8,559.84,280.4,250.43,292.5,188.69,50.19,265.27,58.82,251.39,476.72,897.51,351.19,147.45,237.54,123.99,250.18,294.89,79.9,381.4,177.56,162.14,260.53,817.61,438.77,94.3,314.97,286.87,81.99,676.58,64.4,725.07,308.18,240.71,450.0,521.59,440.9,175.69,650.5,815.96,583.49,339.63,66.8,104.66,157.29,455.17,492.26,716.54,462.86,483.28,578.19,96.0,1537.68,298.19,177.41,71.55,86.28,801.26,428.07,459.95,286.76,387.74,356.5,776.79,869.56,378.78,254.56,386.07,845.3,262.87,396.51,392.42,404.3,653.03,88.74,279.7,529.8,395.34
8,125.38,258.29,640.94,629.24,230.58,160.02,579.64,0.0,274.53,361.12,304.15,665.52,458.79,450.91,704.58,792.01,260.8,590.06,817.11,369.35,441.77,770.97,893.96,66.86,474.41,501.44,210.28,141.73,208.07,177.8,156.74,233.11,215.57,372.08,183.47,288.27,187.96,345.54,370.84,301.18,597.82,403.37,262.68,404.98,828.23,128.08,360.67,486.96,359.41,282.59,158.22,260.71,580.5,396.22,922.34,606.15,886.02,389.66,246.66,531.64,114.19,321.32,278.64,315.96,309.15,821.89,343.98,520.54,925.76,645.17,674.35,264.15,290.27,576.72,255.92,831.97,799.3,523.26,314.21,496.02,260.94,529.77,636.89,511.31,141.45,630.51,293.65,564.22,145.7,354.7,495.57,703.91,240.84,767.69,236.59,777.56,49.34,146.87,369.95,198.55,361.57,312.68,836.25,149.92,224.4,391.75,168.01,857.55,787.94,667.18,626.52,261.83,245.04,215.49,196.22,141.7,148.19,144.69,144.49,158.41,475.75,281.77,289.79,282.1,777.53,343.51,287.25,607.45,553.44,336.17,529.67,358.83,390.83,495.86,265.52,717.16,359.89,467.48,336.56,309.04,645.98,264.16,737.28,424.65,334.86,497.02,430.43,486.62,723.78,827.85,653.76,365.56,589.6,382.07,336.22,409.04,278.83,198.15,251.9,492.92,329.44,421.88,302.91,341.06,646.34,662.17,638.48,186.05,221.98,503.22,259.39,462.33,281.95,484.13,959.41,400.41,408.1,540.22,659.75,534.84,253.6,121.72,785.46,195.73,425.55,444.99,540.47,206.95,714.89,807.33,513.63,507.21,196.47,214.5,860.48,334.21,653.76,814.16,273.07,192.77
9,318.07,276.88,678.32,721.49,426.02,361.3,670.23,274.53,0.0,419.6,337.47,773.09,220.48,200.53,831.82,938.15,297.96,702.09,940.56,445.85,660.52,943.7,1069.75,317.99,202.62,717.47,438.56,368.03,435.28,391.93,348.86,446.02,441.19,440.23,360.28,135.41,90.15,80.26,208.18,92.3,329.27,609.43,300.48,376.59,956.34,306.12,422.93,743.84,422.03,191.1,318.75,273.18,615.97,601.15,1111.24,640.62,1077.53,600.34,507.71,261.1,274.79,62.56,261.72,120.43,148.04,949.71,422.34,626.9,1110.56,772.8,761.18,496.14,173.61,643.18,494.11,975.1,922.45,708.08,95.03,713.76,36.7,704.48,722.1,771.91,316.54,730.53,123.56,592.96,316.78,412.26,712.42,819.08,239.22,876.45,366.09,884.29,295.96,225.1,441.72,128.8,426.81,133.97,963.65,341.28,447.85,566.57,360.61,1001.64,891.49,770.66,706.8,270.04,239.23,233.63,239.02,318.67,243.96,283.35,268.79,344.47,220.77,110.1,151.14,120.82,923.41,424.95,424.03,764.92,663.74,407.82,611.79,419.12,645.74,244.21,467.63,817.67,435.2,591.78,484.8,486.39,748.58,289.75,846.7,511.0,414.94,222.76,675.17,579.85,899.39,952.31,752.12,102.22,652.92,107.73,362.9,437.23,223.47,154.73,229.34,652.21,76.01,161.78,109.89,555.04,730.22,720.63,778.79,230.24,483.1,246.6,208.13,714.57,102.66,580.11,988.91,602.84,537.78,658.59,756.51,262.4,242.2,295.5,931.05,330.39,369.15,713.96,268.05,330.99,871.44,984.89,240.75,698.32,397.85,295.93,1027.88,79.55,757.36,942.37,541.36,387.55
10,244.01,143.46,282.23,302.18,210.78,519.08,250.76,361.12,419.6,0.0,82.14,353.67,635.79,610.89,415.01,525.64,124.5,284.03,521.85,32.55,357.48,546.33,670.31,316.48,579.17,396.33,268.91,267.47,266.48,244.2,225.76,241.54,264.24,22.09,199.88,300.27,361.53,427.46,296.35,505.35,598.29,298.83,121.9,123.69,538.26,236.15,5.72,513.41,6.04,238.55,206.65,146.68,220.44,291.43,720.87,246.29,690.7,301.09,370.76,633.17,247.21,480.85,159.76,336.92,301.48,531.63,29.8,209.38,716.78,357.33,342.96,290.98,261.28,228.87,303.75,560.77,503.8,342.37,362.39,396.42,440.66,327.45,303.76,549.37,224.83,310.94,315.8,203.2,220.1,7.46,393.75,400.1,181.1,456.86,134.15,464.71,319.24,238.69,25.7,460.51,10.7,319.48,545.38,228.62,261.11,221.89,221.12,587.23,472.04,351.08,289.3,149.64,180.66,192.26,196.52,225.42,226.33,216.77,219.58,220.14,625.72,322.11,284.84,311.6,511.11,33.99,118.75,365.8,246.15,27.13,192.63,3.02,433.24,650.18,225.73,398.19,25.96,185.29,142.01,188.05,329.01,130.79,427.16,93.0,35.09,578.15,425.11,160.84,506.37,533.66,332.57,432.01,240.19,479.1,61.58,57.11,201.76,271.36,190.32,266.71,403.53,567.82,336.61,280.69,312.23,311.73,368.32,208.63,359.76,492.14,213.0,475.7,329.56,161.6,1316.14,288.26,146.31,243.75,337.04,570.69,177.4,240.46,518.46,167.87,164.87,674.66,630.62,155.5,466.09,589.58,605.15,342.39,223.17,151.76,624.06,406.4,337.79,524.42,418.34,215.25
