;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200
1;0;0,096148;0,288511;0,279924;0,064296;0,153889;0,252398;0,069658;0,176705;0,13556;0,111709;0,300303;0,294154;0,286015;0,322991;0,373426;0,092255;0,258368;0,38555;0,13785;0,192288;0,365241;0,434493;0,040268;0,288117;0,224787;0,067056;0,0303;0,065205;0,041075;0,01937;0,071999;0,068411;0,140146;0,032677;0,152079;0,127607;0,205858;0,18726;0,207616;0,338816;0,166316;0,092838;0,172094;0,392068;0,008528;0,134848;0,238464;0,134146;0,134211;0,021001;0,098665;0,25559;0,161929;0,452872;0,269679;0,433163;0,160069;0,113114;0,320786;0,024227;0,209179;0,113015;0,172803;0,16152;0,388511;0,124245;0,219549;0,453935;0,289826;0,304989;0,09895;0,143412;0,251474;0,09823;0,39544;0,375596;0,228571;0,178134;0,222357;0,177032;0,230332;0,284211;0,255149;0,010906;0,280669;0,158251;0,247332;0,013556;0,132358;0,221782;0,321973;0,096167;0,357268;0,062951;0,362698;0,043346;0,057049;0,13864;0,160152;0,134952;0,167295;0,396489;0,014976;0,072127;0,152377;0,026364;0,409817;0,368381;0,301133;0,278541;0,100212;0,098626;0,083617;0,071651;0,01038;0,048617;0,028163;0,035303;0,019019;0,298354;0,154738;0,148942;0,152218;0,36531;0,123669;0,089929;0,271437;0,23792;0,120961;0,224919;0,134135;0,184097;0,3109;0,086588;0,328899;0,132949;0,190319;0,117954;0,105638;0,289314;0,096501;0,340351;0,167007;0,119275;0,296427;0,198572;0,200836;0,339334;0,391607;0,293583;0,214694;0,258717;0,23162;0,128111;0,164522;0,123292;0,102277;0,105519;0,207305;0,193985;0,266053;0,167259;0,133778;0,289468;0,298954;0,28702;0,069904;0,100691;0,281137;0,115902;0,22127;0,156703;0,199403;0,60227;0,163557;0,157285;0,230755;0,296898;0,309257;0,102859;0,013164;0,369711;0,042389;0,187819;0,264014;0,323587;0,049493;0,331506;0,38641;0,308269;0,220903;0,046229;0,063388;0,414417;0,196539;0,293663;0,384222;0,136701;0,041848
2;0,096148;0;0,231258;0,247565;0,120248;0,231892;0,218971;0,143496;0,153826;0,079701;0,034576;0,275739;0,274944;0,261792;0,308472;0,368344;0,012788;0,236244;0,368718;0,093873;0,239541;0,374899;0,44466;0,130814;0,247951;0,267414;0,14448;0,122247;0,142584;0,12037;0,098152;0,137445;0,14365;0,090874;0,091449;0,092238;0,121738;0,162123;0,106167;0,201057;0,272791;0,207576;0,013964;0,081624;0,377527;0,088318;0,081365;0,309923;0,080836;0,059947;0,078076;0,003342;0,196246;0,202932;0,470164;0,210523;0,452315;0,205287;0,200635;0,27915;0,084138;0,188138;0,019391;0,114161;0,095848;0,373844;0,080979;0,194483;0,468874;0,275837;0,270194;0,169798;0,072861;0,20602;0,17343;0,388541;0,358654;0,250381;0,126586;0,266339;0,165119;0,245632;0,248422;0,328702;0,086249;0,252237;0,1008;0,184759;0,08399;0,075578;0,265198;0,301224;0,020956;0,333274;0,069004;0,33772;0,127058;0,063519;0,091608;0,178343;0,083422;0,105165;0,38157;0,096758;0,144682;0,173843;0,100356;0,403281;0,34188;0,274497;0,240282;0,00571;0,020974;0,028858;0,035746;0,087294;0,061169;0,069704;0,065855;0,094109;0,270812;0,102727;0,084616;0,097315;0,360186;0,082557;0,093544;0,274611;0,214959;0,072806;0,186722;0,07931;0,258374;0,284361;0,139833;0,300852;0,087959;0,176231;0,125197;0,136214;0,262213;0,007156;0,316686;0,130071;0,077074;0,249808;0,263764;0,168347;0,351229;0,375244;0,26436;0,166324;0,211966;0,190957;0,051206;0,094924;0,040304;0,071258;0,027632;0,214161;0,148699;0,238219;0,112402;0,185118;0,253093;0,250999;0,280025;0,042399;0,190177;0,212911;0,041898;0,290252;0,10661;0,168463;0,66182;0,20264;0,147968;0,212369;0,266888;0,251291;0,020281;0,087038;0,364379;0,06437;0,093591;0,359544;0,278901;0,058817;0,332722;0,398397;0,264175;0,247249;0,114432;0,03458;0,420249;0,15058;0,267075;0,369776;0,226408;0,10778
3;0,288511;0,231258;0;0,076594;0,251712;0,4424;0,073614;0,356082;0,376846;0,156796;0,197254;0,106682;0,489803;0,47389;0,148647;0,210846;0,223056;0,102529;0,185542;0,15091;0,261652;0,249587;0,304834;0,328332;0,446718;0,26394;0,282565;0,295183;0,281881;0,278159;0,275122;0,264295;0,279128;0,149516;0,259699;0,303442;0,352203;0,370177;0,281314;0,427172;0,428127;0,238605;0,221654;0,169157;0,19729;0,285378;0,156549;0,359198;0,157236;0,270749;0,268625;0,232106;0,035027;0,236966;0,342072;0,020952;0,331604;0,245639;0,330224;0,472611;0,293333;0,408671;0,233683;0,319433;0,299879;0,194112;0,164991;0,101309;0,33565;0,13362;0,077822;0,280808;0,281261;0,047293;0,28977;0,222239;0,177484;0,210232;0,335244;0,266486;0,391561;0,194097;0,06727;0,378395;0,278423;0,088302;0,311355;0,04742;0,275892;0,160691;0,264661;0,129372;0,2509;0,143276;0,225562;0,144522;0,331525;0,289021;0,15058;0,409591;0,155718;0,309695;0,199739;0,277659;0,275577;0,198383;0,270911;0,234761;0,144601;0,100817;0,058923;0,233116;0,249956;0,259962;0,264284;0,278524;0,282474;0,276566;0,278609;0,272724;0,479466;0,317224;0,2944;0,311088;0,204794;0,16525;0,202929;0,175477;0,101078;0,169734;0,076068;0,157872;0,33257;0,492788;0,248246;0,111748;0,156149;0,131376;0,188844;0,217512;0,094765;0,224893;0,13225;0,123412;0,170065;0,440777;0,313782;0,099654;0,238494;0,191693;0,089921;0,369171;0,040486;0,396983;0,180052;0,136382;0,252995;0,301491;0,253127;0,169683;0,357955;0,449526;0,321838;0,251765;0,066854;0,03431;0,15281;0,271143;0,328863;0,376345;0,262529;0,339427;0,321529;0,102483;0,887884;0,233229;0,152649;0,112538;0,088828;0,425583;0,24688;0,2885;0,207364;0,24742;0,179636;0,494636;0,468607;0,241112;0,20106;0,272394;0,45641;0,219279;0,265267;0,241091;0,275346;0,358872;0,097868;0,191387;0,353885;0,263004
4;0,279924;0,247565;0,076594;0;0,229654;0,430159;0,028687;0,349582;0,40083;0,167881;0,213419;0,033925;0,519961;0,505513;0,076241;0,141079;0,23668;0,032856;0,126124;0,154651;0,204048;0,174433;0,23332;0,316999;0,484281;0,199684;0,256337;0,278601;0,256166;0,259208;0,263231;0,237892;0,252657;0,156822;0,247947;0,332325;0,368078;0,402366;0,320539;0,448621;0,479196;0,187325;0,23524;0,206694;0,136623;0,279023;0,166217;0,299188;0,166759;0,298071;0,262663;0,249368;0,086789;0,18693;0,269058;0,08318;0,257344;0,19581;0,294685;0,512677;0,290823;0,434637;0,255709;0,351309;0,331361;0,133048;0,16871;0,060752;0,263422;0,05707;0,025289;0,246239;0,310132;0,050938;0,255411;0,156028;0,116557;0,143841;0,366287;0,202804;0,412685;0,127321;0,010413;0,317358;0,271333;0,011709;0,340811;0,098894;0,269125;0,171995;0,201012;0,060359;0,26849;0,086922;0,219719;0,090806;0,322924;0,295457;0,156368;0,421243;0,164243;0,341453;0,140052;0,266682;0,248269;0,155468;0,257615;0,169876;0,094472;0,029854;0,017758;0,25099;0,268241;0,274124;0,275118;0,271074;0,286986;0,275329;0,279517;0,261839;0,512954;0,345152;0,323455;0,339152;0,134126;0,167798;0,189999;0,100688;0,045412;0,176058;0,060944;0,168256;0,280744;0,526517;0,219456;0,053538;0,160654;0,092878;0,165029;0,188408;0,019699;0,240496;0,071216;0,118751;0,173413;0,481256;0,257453;0,080888;0,162129;0,132725;0,018037;0,403544;0,049957;0,430608;0,1995;0,161138;0,278202;0,318424;0,273427;0,111009;0,389334;0,481342;0,35213;0,208788;0,014168;0,049273;0,076295;0,281555;0,296361;0,423759;0,285514;0,280744;0,349383;0,081649;0,881293;0,18291;0,124398;0,05629;0,019702;0,47128;0,266328;0,283408;0,137299;0,243534;0,223316;0,449984;0,510022;0,238684;0,125461;0,197801;0,496691;0,15465;0,246519;0,24663;0,204273;0,390699;0,024022;0,129489;0,315311;0,246191
5;0,064296;0,120248;0,251712;0,229654;0;0,201451;0,203916;0,1281;0,236678;0,117099;0,116605;0,24598;0,356435;0,3474;0,264598;0,311917;0,110219;0,204503;0,326924;0,110737;0,130283;0,301478;0,370507;0,09186;0,345889;0,162063;0,032519;0,050541;0,031352;0,030252;0,045023;0,018058;0,029734;0,11587;0,036557;0,199797;0,189083;0,261259;0,225106;0,270774;0,387246;0,102619;0,109921;0,174754;0,332706;0,068631;0,115001;0,190034;0,114406;0,174336;0,059603;0,123544;0,222065;0,098135;0,38858;0,235156;0,368869;0,096991;0,089124;0,378461;0,085942;0,270212;0,139639;0,221912;0,207174;0,329223;0,101285;0,169049;0,389685;0,231965;0,254939;0,049855;0,185916;0,209471;0,054668;0,334141;0,31713;0,164436;0,230131;0,15991;0,239007;0,166807;0,235401;0,20859;0,061728;0,228599;0,207229;0,216646;0,061148;0,115551;0,159199;0,265671;0,130793;0,301432;0,053043;0,307125;0,100753;0,11195;0,113312;0,224445;0,113756;0,214744;0,337185;0,049471;0,028107;0,089562;0,038016;0,348331;0,313276;0,247622;0,231201;0,125805;0,132784;0,12288;0,113479;0,060681;0,101604;0,07928;0,087464;0,046422;0,359216;0,205594;0,194603;0,201878;0,303883;0,099498;0,052165;0,20938;0,185361;0,102588;0,180697;0,115424;0,138126;0,372056;0,023119;0,275216;0,108034;0,137057;0,064964;0,043879;0,236369;0,116669;0,284717;0,128773;0,097632;0,352361;0,145098;0,155628;0,275458;0,332771;0,241402;0,268807;0,217026;0,288468;0,126781;0,148816;0,157958;0,155592;0,140978;0,145821;0,248594;0,326545;0,21763;0,071749;0,240734;0,255968;0,227122;0,115341;0,082822;0,327959;0,154621;0,170752;0,208338;0,153509;0,65294;0,099554;0,105399;0,176637;0,24495;0,361164;0,135548;0,074643;0,308289;0,05866;0,195267;0,257718;0,380386;0,06234;0,269124;0,322392;0,365109;0,156617;0,018973;0,087802;0,350887;0,251002;0,240362;0,324922;0,115695;0,022454
6;0,153889;0,231892;0,4424;0,430159;0,201451;0;0,403512;0,088902;0,200723;0,288379;0,25787;0,447427;0,269945;0,27168;0,464874;0,507891;0,233731;0,405892;0,526745;0,291678;0,296779;0,488985;0,554612;0,114286;0,298327;0,328913;0,179805;0,151617;0,179338;0,171363;0,168141;0,196759;0,183413;0,29374;0,183664;0,233465;0,164165;0,245055;0,282344;0,192158;0,382614;0,282823;0,234793;0,313506;0,531805;0,157348;0,287934;0,293552;0,287231;0,238051;0,17399;0,233062;0,409396;0,279646;0,565402;0,423523;0,544688;0,273947;0,171545;0,326794;0,151996;0,21488;0,242057;0,24397;0,245344;0,528418;0,277918;0,369407;0,568764;0,4327;0,455426;0,202347;0,239778;0,404766;0,194931;0,530341;0,517119;0,352762;0,238474;0,325266;0,185566;0,359409;0,43528;0,302027;0,164066;0,429692;0,2342;0,400873;0,166632;0,284936;0,325462;0,466888;0,220759;0,502707;0,216838;0,508447;0,111094;0,168976;0,292347;0,134138;0,288246;0,244777;0,536323;0,165212;0,188386;0,2874;0,173159;0,544008;0,514665;0,449013;0,430287;0,233538;0,222984;0,206886;0,196823;0,16392;0,170813;0,168867;0,16915;0,17016;0,286406;0,226263;0,236517;0,228177;0,50011;0,277439;0,241863;0,40554;0,386469;0,274158;0,377539;0,28704;0,246685;0,294681;0,215971;0,476642;0,28668;0,338162;0,265235;0,244739;0,437666;0,235423;0,486052;0,320486;0,272904;0,315051;0,275334;0,352987;0,462632;0,532385;0,442548;0,25719;0,412094;0,257613;0,275664;0,315743;0,239396;0,188935;0,225904;0,344242;0,23983;0,262515;0,236235;0,248192;0,440593;0,452183;0,426374;0,190792;0,160775;0,337346;0,227986;0,285392;0,225093;0,351302;0,451502;0,282759;0,305837;0,378017;0,446044;0,343787;0,227697;0,154792;0,504482;0,195424;0,324074;0,210285;0,334022;0,202084;0,463472;0,507065;0,320551;0,342173;0,183828;0,208003;0,539111;0,242275;0,44172;0,524126;0,172642;0,183969
7;0,252398;0,218971;0,073614;0,028687;0,203916;0,403512;0;0,322023;0,372355;0,139315;0,184894;0,058808;0,491763;0,477444;0,098271;0,163223;0,208031;0,031861;0,152759;0,125966;0,190827;0,190458;0,253042;0,289943;0,456859;0,190928;0,231657;0,252175;0,23137;0,233085;0,236043;0,213127;0,228009;0,128181;0,220668;0,304278;0,339397;0,37448;0,293758;0,420016;0,454191;0,170579;0,206592;0,18048;0,162773;0,251253;0,137609;0,287788;0,138144;0,269982;0,234797;0,220803;0,071552;0,169586;0,287125;0,07263;0,274001;0,178451;0,272666;0,485547;0,262736;0,406236;0,227363;0,323496;0,303559;0,159138;0,140027;0,035541;0,282299;0,072034;0,052852;0,223645;0,282141;0,032503;0,232819;0,179883;0,142959;0,13671;0,33836;0,193621;0,384087;0,120514;0,031825;0,306645;0,243612;0,034164;0,312795;0,081343;0,241362;0,14342;0,191798;0,085536;0,239905;0,114826;0,191666;0,118987;0,295538;0,26687;0,127698;0,392596;0,135609;0,313653;0,166418;0,239391;0,223785;0,134703;0,230592;0,194128;0,122933;0,056367;0,027572;0,222446;0,239682;0,245454;0,246433;0,24339;0,25846;0,247105;0,251162;0,234516;0,485047;0,317001;0,295445;0,311023;0,15578;0,139126;0,162501;0,104831;0,027884;0,147373;0,032679;0,139664;0,264847;0,49862;0,195107;0,081915;0,131969;0,068886;0,138989;0,163827;0,04439;0,211891;0,098648;0,090081;0,144738;0,454234;0,243765;0,052389;0,174987;0,159372;0,045549;0,375882;0,035776;0,402819;0,171214;0,133731;0,250005;0,289775;0,244944;0,097609;0,361394;0,453314;0,324163;0,188683;0,037111;0,058148;0,087387;0,252876;0,273478;0,398083;0,257149;0,268489;0,321218;0,053336;0,854273;0,16566;0,098561;0,039751;0,047933;0,445147;0,237819;0,255528;0,159315;0,215415;0,198056;0,431553;0,483093;0,210438;0,141425;0,214484;0,469615;0,146039;0,220286;0,218012;0,224615;0,362799;0,049301;0,155388;0,294337;0,219633
8;0,069658;0,143496;0,356082;0,349582;0,1281;0,088902;0,322023;0;0,15252;0,200626;0,168974;0,369734;0,254887;0,250507;0,391438;0,440007;0,144892;0,327813;0,453954;0,205195;0,245428;0,428319;0,496649;0,037144;0,263564;0,278582;0,116824;0,078738;0,115597;0,09878;0,087078;0,129505;0,119761;0,206711;0,10193;0,160154;0,104426;0,191966;0,206022;0,167321;0,332125;0,224095;0,145937;0,224993;0,460133;0,071158;0,200377;0,270536;0,199675;0,156995;0,087902;0,144839;0,322505;0,220125;0,512417;0,336754;0,492236;0,21648;0,137032;0,295358;0,063437;0,178513;0,154802;0,175535;0,17175;0,456612;0,191103;0,289194;0,514315;0,358432;0,37464;0,14675;0,161261;0,320401;0,142179;0,462212;0,44406;0,290701;0,174564;0,27557;0,144967;0,294322;0,353829;0,284065;0,078584;0,350287;0,163143;0,313461;0,080948;0,197056;0,275317;0,391067;0,133802;0,426496;0,131442;0,431981;0,027414;0,081596;0,205529;0,110305;0,200873;0,173712;0,464587;0,083291;0,12467;0,217641;0,093339;0,476422;0,437751;0,370659;0,348071;0,145461;0,136136;0,119715;0,109011;0,078722;0,082329;0,080382;0,080275;0,088008;0,264311;0,15654;0,160994;0,156722;0,431965;0,19084;0,159584;0,337478;0,307472;0,186763;0,294262;0,19935;0,21713;0,275482;0,147511;0,398427;0,199938;0,259713;0,186978;0,171691;0,358882;0,146755;0,409605;0,235917;0,186035;0,276124;0,239128;0,270346;0,402105;0,459923;0,363202;0,203091;0,327558;0,212264;0,186792;0,227244;0,154906;0,110085;0,139948;0,273848;0,183022;0,234381;0,168284;0,18948;0,359079;0,367875;0,354716;0,103359;0,123323;0,279571;0,144106;0,256853;0,156643;0,268964;0,533013;0,222454;0,226724;0,300125;0,366529;0,297138;0,14089;0,067621;0,436371;0,10874;0,236419;0,247217;0,300266;0,114971;0,397164;0,44852;0,285351;0,281784;0,109152;0,11917;0,478049;0,185675;0,363204;0,452315;0,151708;0,107093
9;0,176705;0,153826;0,376846;0,40083;0,236678;0,200723;0,372355;0,15252;0;0,233112;0,187486;0,429499;0,12249;0,111406;0,462127;0,521201;0,165535;0,390053;0,522541;0,247698;0,366956;0,524281;0,59431;0,176665;0,11257;0,398597;0,243645;0,204465;0,241826;0,217739;0,193812;0,247792;0,245108;0,244575;0,200159;0,075227;0,050081;0,044589;0,115658;0,051278;0,182932;0,338573;0,166934;0,209218;0,531305;0,170071;0,234965;0,413248;0,234464;0,106166;0,177086;0,151766;0,342206;0,333974;0,617359;0,355905;0,598635;0,333523;0,282064;0,145055;0,152662;0,034754;0,145402;0,066908;0,082246;0,527623;0,234635;0,348279;0,616985;0,429335;0,422881;0,275637;0,096453;0,357323;0,274506;0,541728;0,512475;0,393383;0,052793;0,396539;0,020389;0,391383;0,40117;0,428843;0,175859;0,405856;0,068645;0,329427;0,175989;0,229035;0,395791;0,455048;0,132902;0,486921;0,203383;0,491278;0,164425;0,125055;0,245402;0,071556;0,237119;0,074427;0,535365;0,189604;0,248808;0,314766;0,200339;0,55647;0,495277;0,42815;0,392668;0,150023;0,132907;0,129798;0,132792;0,177041;0,135533;0,157421;0,14933;0,191373;0,122651;0,061167;0,083969;0,067125;0,513012;0,236087;0,235576;0,424957;0,368749;0,226569;0,339888;0,232846;0,358749;0,135675;0,259797;0,454268;0,241778;0,328768;0,269334;0,270221;0,415882;0,160975;0,470396;0,283892;0,230522;0,123759;0,375096;0,32214;0,499664;0,529064;0,41785;0,056789;0,362735;0,059852;0,201613;0,242905;0,124154;0,08596;0,127411;0,36234;0,042226;0,08988;0,061049;0,308359;0,40568;0,400354;0,432665;0,127912;0,26839;0,136999;0,115629;0,39699;0,057032;0,322286;0,549401;0,334915;0,298769;0,365885;0,420285;0,145781;0,134557;0,164166;0,517256;0,18355;0,205087;0,39665;0,148916;0,183884;0,484138;0,547165;0,133753;0,387958;0,221028;0,164406;0,571052;0,044193;0,420758;0,523542;0,300761;0,215307
10;0,13556;0,079701;0,156796;0,167881;0,117099;0,288379;0,139315;0,200626;0,233112;0;0,045632;0,196485;0,353222;0,339388;0,230564;0,292023;0,069169;0,157796;0,289917;0,018081;0,198603;0,30352;0,372399;0,175825;0,321763;0,220186;0,149398;0,148595;0,148046;0,135668;0,125423;0,134191;0,146799;0,012272;0,111048;0,166821;0,200852;0,237478;0,16464;0,280754;0,332388;0,166021;0,067723;0,068715;0,299036;0,131194;0,003176;0,285228;0,003354;0,13253;0,114804;0,081489;0,122466;0,161908;0,40049;0,136828;0,383728;0,167274;0,205979;0,351763;0,13734;0,267139;0,088759;0,18718;0,167489;0,295355;0,016555;0,116325;0,398213;0,198518;0,190533;0,161659;0,145159;0,127154;0,168754;0,311543;0,279892;0,190206;0,201328;0,220233;0,244811;0,181918;0,168757;0,305209;0,124909;0,172745;0,175446;0,112892;0,122276;0,004143;0,218754;0,22228;0,100611;0,253811;0,074526;0,258174;0,177356;0,132604;0,01428;0,255842;0,005944;0,177492;0,302994;0,127011;0,145062;0,123273;0,122846;0,326243;0,262246;0,195044;0,160726;0,083136;0,100367;0,106814;0,109178;0,125232;0,125738;0,120431;0,121988;0,122301;0,347627;0,178954;0,158243;0,17311;0,283951;0,018884;0,065974;0,203226;0,136754;0,015074;0,10702;0,001678;0,240691;0,361215;0,125405;0,221221;0,01442;0,102942;0,078896;0,104475;0,182783;0,072659;0,237311;0,051669;0,019493;0,321196;0,236176;0,089357;0,281318;0,296478;0,184763;0,24001;0,133442;0,266166;0,034211;0,031728;0,112088;0,15076;0,105733;0,148175;0,224186;0,315457;0,187008;0,155939;0,173464;0,173186;0,204623;0,115906;0,199871;0,273416;0,118333;0,264283;0,183092;0,089777;0,731196;0,160146;0,081283;0,135416;0,187245;0,317055;0,098555;0,13359;0,288035;0,093263;0,091596;0,374813;0,350349;0,086391;0,258941;0,32755;0,336198;0,19022;0,123984;0,084312;0,346704;0,225781;0,187665;0,291349;0,232415;0,119584
