Diagnóstico principal (CIE9MC);Urgencia del ingreso y sexo;Total
TODAS LAS CAUSAS;Total;6,66
TODAS LAS CAUSAS;Casos ordinarios:Ambos sexos;5,98
TODAS LAS CAUSAS;Casos ordinarios:Hombres;6,27
TODAS LAS CAUSAS;Casos ordinarios:Mujeres;5,69
TODAS LAS CAUSAS;Casos urgentes:Ambos sexos;7,08
TODAS LAS CAUSAS;Casos urgentes:Hombres;7,79
TODAS LAS CAUSAS;Casos urgentes:Mujeres;6,47
001-139 I ENFERMEDADES INFECCIOSAS Y PARASITARIAS;Total;8,81
001-139 I ENFERMEDADES INFECCIOSAS Y PARASITARIAS;Casos ordinarios:Ambos sexos;10,89
001-139 I ENFERMEDADES INFECCIOSAS Y PARASITARIAS;Casos ordinarios:Hombres;10,62
001-139 I ENFERMEDADES INFECCIOSAS Y PARASITARIAS;Casos ordinarios:Mujeres;11,29
001-139 I ENFERMEDADES INFECCIOSAS Y PARASITARIAS;Casos urgentes:Ambos sexos;8,59
001-139 I ENFERMEDADES INFECCIOSAS Y PARASITARIAS;Casos urgentes:Hombres;8,81
001-139 I ENFERMEDADES INFECCIOSAS Y PARASITARIAS;Casos urgentes:Mujeres;8,33
001-009 I.1 ENFERMEDADES INFECCIOSAS INTESTINALES;Total;4,73
001-009 I.1 ENFERMEDADES INFECCIOSAS INTESTINALES;Casos ordinarios:Ambos sexos;5,98
001-009 I.1 ENFERMEDADES INFECCIOSAS INTESTINALES;Casos ordinarios:Hombres;5,44
001-009 I.1 ENFERMEDADES INFECCIOSAS INTESTINALES;Casos ordinarios:Mujeres;6,47
001-009 I.1 ENFERMEDADES INFECCIOSAS INTESTINALES;Casos urgentes:Ambos sexos;4,67
001-009 I.1 ENFERMEDADES INFECCIOSAS INTESTINALES;Casos urgentes:Hombres;4,53
001-009 I.1 ENFERMEDADES INFECCIOSAS INTESTINALES;Casos urgentes:Mujeres;4,81
003,005 Infecciones por salmonella y otras intoxicaciones alimentarias;Total;5,09
003,005 Infecciones por salmonella y otras intoxicaciones alimentarias;Casos ordinarios:Ambos sexos;5,46
003,005 Infecciones por salmonella y otras intoxicaciones alimentarias;Casos ordinarios:Hombres;5,28
003,005 Infecciones por salmonella y otras intoxicaciones alimentarias;Casos ordinarios:Mujeres;5,63
003,005 Infecciones por salmonella y otras intoxicaciones alimentarias;Casos urgentes:Ambos sexos;5,08
003,005 Infecciones por salmonella y otras intoxicaciones alimentarias;Casos urgentes:Hombres;5,10
003,005 Infecciones por salmonella y otras intoxicaciones alimentarias;Casos urgentes:Mujeres;5,05
009 Infecciones intestinales mal definidas;Total;3,99
009 Infecciones intestinales mal definidas;Casos ordinarios:Ambos sexos;5,03
009 Infecciones intestinales mal definidas;Casos ordinarios:Hombres;4,75
009 Infecciones intestinales mal definidas;Casos ordinarios:Mujeres;5,29
009 Infecciones intestinales mal definidas;Casos urgentes:Ambos sexos;3,91
009 Infecciones intestinales mal definidas;Casos urgentes:Hombres;3,77
009 Infecciones intestinales mal definidas;Casos urgentes:Mujeres;4,05
Resto (001-009) Otras enfermedades infecciosas intestinales;Total;5,13
Resto (001-009) Otras enfermedades infecciosas intestinales;Casos ordinarios:Ambos sexos;7,27
Resto (001-009) Otras enfermedades infecciosas intestinales;Casos ordinarios:Hombres;6,35
Resto (001-009) Otras enfermedades infecciosas intestinales;Casos ordinarios:Mujeres;8,05
Resto (001-009) Otras enfermedades infecciosas intestinales;Casos urgentes:Ambos sexos;5,04
Resto (001-009) Otras enfermedades infecciosas intestinales;Casos urgentes:Hombres;4,82
Resto (001-009) Otras enfermedades infecciosas intestinales;Casos urgentes:Mujeres;5,27
010-018 I.2 TUBERCULOSIS;Total;14,47
010-018 I.2 TUBERCULOSIS;Casos ordinarios:Ambos sexos;13,46
010-018 I.2 TUBERCULOSIS;Casos ordinarios:Hombres;14,61
010-018 I.2 TUBERCULOSIS;Casos ordinarios:Mujeres;11,36
010-018 I.2 TUBERCULOSIS;Casos urgentes:Ambos sexos;14,74
010-018 I.2 TUBERCULOSIS;Casos urgentes:Hombres;15,33
010-018 I.2 TUBERCULOSIS;Casos urgentes:Mujeres;13,73
010-012 Infección tuberculosa primaria, pulmonar y otras tuberculosis del aparato respiratorio;Total;13,49
010-012 Infección tuberculosa primaria, pulmonar y otras tuberculosis del aparato respiratorio;Casos ordinarios:Ambos sexos;13,97
010-012 Infección tuberculosa primaria, pulmonar y otras tuberculosis del aparato respiratorio;Casos ordinarios:Hombres;15,36
010-012 Infección tuberculosa primaria, pulmonar y otras tuberculosis del aparato respiratorio;Casos ordinarios:Mujeres;10,99
010-012 Infección tuberculosa primaria, pulmonar y otras tuberculosis del aparato respiratorio;Casos urgentes:Ambos sexos;13,39
010-012 Infección tuberculosa primaria, pulmonar y otras tuberculosis del aparato respiratorio;Casos urgentes:Hombres;14,42
010-012 Infección tuberculosa primaria, pulmonar y otras tuberculosis del aparato respiratorio;Casos urgentes:Mujeres;11,48
Resto (010-018) Otras tuberculosis;Total;17,77
Resto (010-018) Otras tuberculosis;Casos ordinarios:Ambos sexos;12,45
Resto (010-018) Otras tuberculosis;Casos ordinarios:Hombres;12,86
Resto (010-018) Otras tuberculosis;Casos ordinarios:Mujeres;11,91
Resto (010-018) Otras tuberculosis;Casos urgentes:Ambos sexos;20,19
Resto (010-018) Otras tuberculosis;Casos urgentes:Hombres;19,38
Resto (010-018) Otras tuberculosis;Casos urgentes:Mujeres;21,31
020-041 I.3 ENFERMEDADES BACTERIANAS ZOONOSICAS Y OTRAS BACTERIANAS;Total;11,48
020-041 I.3 ENFERMEDADES BACTERIANAS ZOONOSICAS Y OTRAS BACTERIANAS;Casos ordinarios:Ambos sexos;18,88
020-041 I.3 ENFERMEDADES BACTERIANAS ZOONOSICAS Y OTRAS BACTERIANAS;Casos ordinarios:Hombres;20,19
020-041 I.3 ENFERMEDADES BACTERIANAS ZOONOSICAS Y OTRAS BACTERIANAS;Casos ordinarios:Mujeres;17,50
020-041 I.3 ENFERMEDADES BACTERIANAS ZOONOSICAS Y OTRAS BACTERIANAS;Casos urgentes:Ambos sexos;10,99
020-041 I.3 ENFERMEDADES BACTERIANAS ZOONOSICAS Y OTRAS BACTERIANAS;Casos urgentes:Hombres;11,25
020-041 I.3 ENFERMEDADES BACTERIANAS ZOONOSICAS Y OTRAS BACTERIANAS;Casos urgentes:Mujeres;10,70
036 Infección meningocócica;Total;10,93
036 Infección meningocócica;Casos ordinarios:Ambos sexos;10,48
036 Infección meningocócica;Casos ordinarios:Hombres;10,09
036 Infección meningocócica;Casos ordinarios:Mujeres;10,92
036 Infección meningocócica;Casos urgentes:Ambos sexos;10,99
036 Infección meningocócica;Casos urgentes:Hombres;10,72
036 Infección meningocócica;Casos urgentes:Mujeres;11,40
038 Septicemia;Total;11,52
038 Septicemia;Casos ordinarios:Ambos sexos;16,35
038 Septicemia;Casos ordinarios:Hombres;16,08
038 Septicemia;Casos ordinarios:Mujeres;16,63
038 Septicemia;Casos urgentes:Ambos sexos;11,23
038 Septicemia;Casos urgentes:Hombres;11,45
038 Septicemia;Casos urgentes:Mujeres;10,96
Resto (020-041) Otras enfermedades bacterianas zoonosicas y otras enfermedades bacterianas;Total;11,12
Resto (020-041) Otras enfermedades bacterianas zoonosicas y otras enfermedades bacterianas;Casos ordinarios:Ambos sexos;32,98
Resto (020-041) Otras enfermedades bacterianas zoonosicas y otras enfermedades bacterianas;Casos ordinarios:Hombres;41,22
